Date,BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
2005,4562,2051,2766,3544,4027,1431,2468,3524,4122,1841,3486,2591,852,4707,1694,1986,955,2099,2916,1591
2006,6498,1863,1969,1191,2173,2703,1603,1977,1762,1310,2516,1434,1415,4848,2174,1636,1919,1623,3679,1648
2007,6311,2345,2197,2780,3715,1614,1949,2672,2863,2973,1751,1500,2039,5943,1507,2036,1114,760,2270,1236
2008,4745,1857,1769,1508,3084,1279,2371,2589,2368,1255,2125,1542,1221,3646,1355,1980,891,751,1907,554
2009,5527,1591,1607,1409,3086,2584,1053,1996,3386,1614,2197,1394,1255,4304,1476,1441,1332,2059,1232,909
2010,5222,2656,2803,901,2001,1119,1722,1863,2034,916,2700,1555,675,5288,1299,921,1119,672,2504,998
2011,5404,1272,1616,1477,3276,1995,1789,1737,2122,1778,2319,1360,742,4522,1109,2219,767,905,2379,1296
2012,5353,907,1927,648,3205,1151,2160,2354,1880,1374,982,816,1252,3907,1464,1010,397,1144,1487,802
2013,4874,2187,943,803,2419,1040,947,1603,2252,1127,1523,591,1220,4452,1560,1383,1531,982,1359,470
2014,4375,1134,1854,827,2724,1521,1232,1358,1762,1330,1844,645,793,3297,788,944,607,855,1534,889
